#ID	text	majority	agreement	annotations
ABSA16-1649025:1.4	I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the <TARGET>stir fry blue crab</TARGET>.	positive	0.6666666666666666	neither,positive,positive
ABSA16-709294:3.2	The portion sizes here are huge, and the <TARGET>sushi</TARGET> is good.	positive	1.0	positive,positive,positive
ABSA16-1671113:4.2	The <TARGET>staff</TARGET> has been nice, but they seemed really stressed and the unisex bathroom needs to be cleaned more often.	neither	0.5	neither,positive
ABSA16-P#3:0.1	Great <TARGET>Atmosphere</TARGET>	positive	1.0	positive,positive
ABSA16-ADLT#10:3.2	never swaying, never a bad <TARGET>meal</TARGET>, never bad service...	positive	1.0	positive,positive
ABSA16-1340075:6.1	This <TARGET>place</TARGET> is always very crowded and popular.	positive	1.0	positive,positive,positive
ABSA16-1102681:2.3	The food was average to above-average; the <TARGET>French Onion soup</TARGET> filling yet not overly impressive, and the desserts not brilliant in any way.	neither	0.6666666666666666	neither,neither,negative
ABSA16-EVPK#10:3.1	We had <TARGET>half/half pizza</TARGET>, mine was eggplant and my friend had the buffalo and it was sooo huge for a small size pizza!	neither	0.6666666666666666	neither,neither,positive
ABSA16-1086415:3.1	I am not a vegetarian but, almost all the <TARGET>dishes</TARGET> were great.	positive	1.0	positive,positive
ABSA16-1395421:4.1	Check this <TARGET>place</TARGET> out!	neither	0.6666666666666666	neither,neither,positive
ABSA16-DBG#7:7.1	Easily the worst <TARGET>stir-fried squid</TARGET> I've ever tasted.	negative	1.0	negative,negative
ABSA16-1748813:0.1	I stumbled upon this great <TARGET>pizzeria</TARGET> as I explored my new neighborhood.	positive	1.0	positive,positive
ABSA16-1154550:1.1	The <TARGET>place</TARGET> is small and cramped but the food is fantastic.	negative	1.0	negative,negative,negative
ABSA16-Y#7:4.1	<TARGET>Delivery</TARGET> can be spot on or lacking depending on the weather and the day of the week.	negative	1.0	negative,negative
ABSA16-EVPK#10:1.1	I was visiting New York City with a friend and we discovered this really warm and inviting <TARGET>restaurant</TARGET>.	positive	1.0	positive,positive
ABSA16-BzG#4:2.2	What really makes it shine is the food, which is aggressively seasoned with Cyrpriot spices, and all made in-house (even the <TARGET>gyro meat</TARGET> and sausages), and made of much higher quality ingredients that might otherwise be expected.	positive	1.0	positive,positive
ABSA16-527109:3.1	The <TARGET>wine list</TARGET> is extensive and can easily hike up an otherwise reasonably priced meal.	positive	1.0	positive,positive
ABSA16-WE#4:2.4	Everyone raved about the atmosphere (elegant rooms and absolutely incomparable views) and the fabulous <TARGET>food</TARGET>!	positive	1.0	positive,positive
ABSA16-507937:3.1	<TARGET>Service</TARGET> is fast and friendly.	positive	1.0	positive,positive
ABSA16-BG#8:6.1	<TARGET>Bukhara</TARGET> is on my top 5 Indian places in NYC	positive	1.0	positive,positive,positive
ABSA16-1390357:0.1	I absolutely love this <TARGET>place</TARGET>!!!	positive	1.0	positive,positive,positive
ABSA16-TM#6:6.1	Best <TARGET>Indian Chinese</TARGET> in the city, by far!	positive	1.0	positive,positive
ABSA16-955711:0.1	This <TARGET>place</TARGET> blew me away...by far my new favorite restaurant on the uppereast side.	reject	0.5	reject,positive
ABSA16-Z#2:0.1	<TARGET>Sushi</TARGET> experience was unbelievable with my fiance.	positive	1.0	positive,positive
ABSA16-632121:2.1	The <TARGET>food</TARGET> is amazing, rich pastas and fresh doughy pizza.	positive	1.0	positive,positive
ABSA16-620892:6.1	<TARGET>Food</TARGET> was just average...if they lowered the prices just a bit, it would be a bigger draw.	neither	0.5	neither,neutral
ABSA16-Y#7:2.2	The sashimi is always fresh and the <TARGET>rolls</TARGET> are innovative and delicious.	positive	1.0	positive,positive,positive
ABSA16-1603698:5.1	The <TARGET>dinner</TARGET> was ok, nothing I would have again.	negative	0.6666666666666666	positive,negative,negative
ABSA16-TFS#10:4.1	However, our <TARGET>main course</TARGET> was wonderful.	positive	1.0	positive,positive,positive
ABSA16-P#1:2.1	I would never recommend this <TARGET>place</TARGET> to anybody even for a casual dinner.	negative	1.0	negative,negative,negative
ABSA16-1349391:0.1	sometimes i get good <TARGET>food</TARGET> and ok service.	positive	0.6666666666666666	positive,neither,positive
ABSA16-1014458:3.2	The <TARGET>wine list</TARGET> is interesting and has many good values.	positive	1.0	positive,positive,positive,positive
ABSA16-1090587:2.2	Add to that great service and great <TARGET>food</TARGET> at a reasonable price and you have yourself the beginning of a great evening.	positive	1.0	positive,positive,positive
ABSA16-Y#6:4.2	The rolls are creative and I have yet to find another sushi place that serves up more inventive yet delicious <TARGET>japanese food</TARGET>.	reject	0.5	reject,positive,reject,positive
ABSA16-1241906:0.1	Great <TARGET>service</TARGET>, great food.	positive	1.0	positive,positive,positive
ABSA16-535086:3.1	Excellent <TARGET>spot</TARGET> for holiday get togethers with co-workers or friends that you haven't seen in a while.	positive	0.75	positive,reject,positive,positive
ABSA16-1395421:1.1	THe <TARGET>Pizza</TARGET> and wine were excellent-the service too--but what really MADE this place was the backyard dining area.	positive	1.0	positive,positive
ABSA16-1671113:4.3	The staff has been nice, but they seemed really stressed and the <TARGET>unisex bathroom</TARGET> needs to be cleaned more often.	neither	0.5	neither,negative
ABSA16-1086415:2.3	$6 and there is much tasty <TARGET>food</TARGET>, all of it fresh and continually refilled.	positive	0.75	positive,reject,positive,positive
ABSA16-TFS#5:8.1	Yes, the <TARGET>place</TARGET> is classy and beautiful, but they most certainly target the uber whealthy Not the common joe that wants to go all out every once in a while.	positive	0.6666666666666666	neither,positive,positive
ABSA16-1289424:3.1	The <TARGET>server</TARGET> was really cool and served us our food and drinks with a smile.	positive	1.0	positive,positive
ABSA16-1661757:2.3	The ambience was so fun, and the prices were great, on top of the fact that the <TARGET>food</TARGET> was really tasty.	positive	1.0	positive,positive,positive
ABSA16-Y#4:0.1	<TARGET>Red Dragon Roll</TARGET> - my favorite thing to eat, of any food group - hands down	positive	1.0	positive,positive
ABSA16-1125006:1.1	Best <TARGET>Pastrami</TARGET> I ever had and great portion without being ridiculous.	positive	1.0	positive,positive
ABSA16-1352948:1.1	And where does <TARGET>Patis</TARGET> go wrong; no where. 	positive	1.0	positive,positive
ABSA16-535248:1.1	The <TARGET>shrimp scampi</TARGET> was excellent and the antipasti were plentiful.	positive	1.0	positive,positive
ABSA16-709294:3.1	The <TARGET>portion</TARGET> sizes here are huge, and the sushi is good.	positive	0.6666666666666666	positive,neither,positive
ABSA16-1347423:2.1	We even had a visit from the <TARGET>Manager</TARGET> who wanted to make sure we were enjoying ourselves.	positive	0.75	positive,neither,positive,positive
ABSA16-1730447:2.1	By far, the best <TARGET>pizza</TARGET> in Manhattan.	positive	1.0	positive,positive,positive
ABSA16-1572027:3.1	I ate here a week ago and found most <TARGET>dishes</TARGET> average at best and too expensive.	negative	1.0	negative,negative,negative
ABSA16-BHD#4:3.1	The <TARGET>hot dogs</TARGET> are top notch, and they're Slamwich is amazing!	positive	1.0	positive,positive
ABSA16-558423:0.1	This place has the best Chinese style <TARGET>BBQ ribs</TARGET> in the city.	positive	1.0	positive,positive,positive,positive
ABSA16-WE#1:3.2	The bread was stale, the <TARGET>salad</TARGET> was overpriced and empty.	negative	1.0	negative,negative,negative
ABSA16-680345:2.4	Delicate spices, onions, eggs and a kick-ass <TARGET>roti</TARGET>.	positive	1.0	positive,positive
ABSA16-1318537:0.2	fresh restaurant was amazing........ <TARGET>food</TARGET> was delicious and of course fresh.	positive	1.0	positive,positive,positive,positive
ABSA16-436868:1.1	The <TARGET>dosas</TARGET> are skimpy, unattractive and drip with grease, and personally I'd drink popcorn topping before I'd eat another one of these.	negative	1.0	negative,negative
ABSA16-BG#6:1.2	Decor needs to be upgraded but the <TARGET>food</TARGET> is amazing!	positive	1.0	positive,positive
ABSA16-1102681:0.1	Once you step into <TARGET>Cosette</TARGET>, you're miraculously in a small, off-the-beaten path Parisian bistro.	negative	0.6666666666666666	negative,negative,positive
ABSA16-1131595:2.1	The <TARGET>hostess</TARGET> is rude to the point of being offensive.	negative	1.0	negative,negative
ABSA16-DBG#6:7.3	The meat is fresh, the sauces are great, you get kimchi and a salad free with your meal and <TARGET>service</TARGET> is good too.	positive	1.0	positive,positive,positive
ABSA16-503807:2.1	The <TARGET>food</TARGET> was exceptional.	positive	1.0	positive,positive,positive
ABSA16-498657:2.2	The rest of the <TARGET>dim sum</TARGET>, though pricey by Chinatown standards, is worth it.	neither	0.3333333333333333	neither,positive,negative
ABSA16-535171:2.4	A cool bar with great food, and tons of excellent <TARGET>beer</TARGET>.	positive	1.0	positive,positive,positive
ABSA16-1432551:1.1	The <TARGET>portions</TARGET> are large and the servers always surprise us with a different starter.	positive	0.6666666666666666	positive,neither,positive
ABSA16-TFS#8:1.1	The <TARGET>food</TARGET> was excellent as well as service, however, I left The Four Seasons very dissappointed.	positive	1.0	positive,positive
ABSA16-1577714:2.2	The fish was not fresh and the <TARGET>rice</TARGET> tasted old and stale.	negative	1.0	negative,negative,negative
ABSA16-565344:1.3	This little place definitely exceeded my expectations and you sure get a lot of <TARGET>food</TARGET> for your money.	positive	1.0	positive,positive,positive
ABSA16-TFS#10:8.2	Not what I would expect for the price and prestige of this <TARGET>location</TARGET>.	negative	0.5	negative,positive,negative,neutral
ABSA16-BHD#6:0.1	great <TARGET>hot dogs</TARGET>..	positive	1.0	positive,positive
ABSA16-DBG#6:0.1	Great <TARGET>Shabu Shabu</TARGET>	positive	1.0	positive,positive
ABSA16-P#1:1.2	Very immature bartender, didnt know how to make specific drinks, <TARGET>service</TARGET> was so slowwwww, the food was not fresh or warm, waitresses were busy flirting with men at the bar and werent very attentive to all the customers.	negative	1.0	negative,negative,negative,negative
ABSA16-521916:0.3	Downtown Dinner 2002 - Prixe fix: Appetizers were ok, waiter gave me poor suggestion..try the <TARGET>potato stuff kanish</TARGET> best one.	negative	0.5	negative,positive
ABSA16-1138996:5.1	The <TARGET>people</TARGET> that work there are always so friendly you forget you are in New York sometimes.	positive	1.0	positive,positive
ABSA16-ADLT#8:1.1	I recommend this <TARGET>place</TARGET> to everyone.	positive	1.0	positive,positive,positive,positive
ABSA16-1293334:2.2	The have over 100 different beers to offer thier guest so that made my husband very happy and the <TARGET>food</TARGET> was delicious, if I must recommend a dish it must be the pumkin tortelini.	positive	1.0	positive,positive
ABSA16-ADLT#10:2.1	for 7 years they have put out the most tasty, most delicious <TARGET>food</TARGET> and kept it that way...	positive	1.0	positive,positive,positive
ABSA16-454704:1.1	The <TARGET>service</TARGET> is awful.	negative	1.0	negative,negative
ABSA16-1086478:1.5	I like the somosas, chai, and the chole, but the dhosas and <TARGET>dhal</TARGET> were kinda dissapointing.	negative	1.0	negative,negative
ABSA16-511290:2.1	You must try the <TARGET>shrimp appetizers</TARGET>.	positive	1.0	positive,positive,positive
ABSA16-BzG#4:2.3	What really makes it shine is the food, which is aggressively seasoned with Cyrpriot spices, and all made in-house (even the gyro meat and <TARGET>sausages</TARGET>), and made of much higher quality ingredients that might otherwise be expected.	positive	1.0	positive,positive
ABSA16-TM#7:2.1	The <TARGET>wait staff</TARGET> is very courteous and accomodating.	positive	1.0	positive,positive
ABSA16-1253117:1.2	The pizza is delicious - they use <TARGET>fresh mozzarella</TARGET> instead of the cheap, frozen, shredded cheese common to most pizzaria's.	positive	1.0	positive,positive
ABSA16-CLF#3:29.1	If it seemed possible to do so while there I would have fought my bill since my dinner portion of my <TARGET>meal</TARGET> was inedible!	negative	1.0	negative,negative
ABSA16-507755:0.1	Have eaten at <TARGET>Ginger House</TARGET> several times, and it's always good.	positive	1.0	positive,positive,positive
ABSA16-BFC#9:9.2	The <TARGET>lobster knuckles</TARGET> (special of the day) were ok, but pretty tasteless.	neither	0.5	neither,neutral
ABSA16-BzG#2:1.1	The <TARGET>food</TARGET> is flavorful, plentiful and reasonably priced.	positive	1.0	positive,positive,positive,positive
ABSA16-FF#6:12.1	Shame on this place for the horrible rude <TARGET>staff</TARGET> and non-existent customer service.	negative	1.0	negative,negative
ABSA16-1430994:1.1	The <TARGET>staff</TARGET> offers impeccable service.	positive	1.0	positive,positive,positive
ABSA16-535086:4.1	I have been doing all of the above at the <TARGET>Heartland Brewery</TARGET> for over 5 years now and I HAVE NEVER BEEN DISAPPOINTED!	positive	1.0	positive,positive,positive
ABSA16-1153034:1.1	There was a small <TARGET>wait</TARGET>, but shorter than I expected.	neither	0.5	neither,positive
ABSA16-P#1:1.3	Very immature bartender, didnt know how to make specific drinks, service was so slowwwww, the <TARGET>food</TARGET> was not fresh or warm, waitresses were busy flirting with men at the bar and werent very attentive to all the customers.	negative	1.0	negative,negative,negative
ABSA16-1086478:1.4	I like the somosas, chai, and the chole, but the <TARGET>dhosas</TARGET> and dhal were kinda dissapointing.	negative	1.0	negative,negative
ABSA16-512294:1.2	If you are looking for a good quality, cheap <TARGET>eats</TARGET> - this is the place.	positive	1.0	positive,positive
ABSA16-530517:2.1	Great <TARGET>food</TARGET>, great decor, great service.	positive	1.0	positive,positive,positive,positive,positive
ABSA16-1118167:2.2	The pizza was delivered cold and the <TARGET>cheese</TARGET> wasn't even fully melted!	negative	1.0	negative,negative,negative,negative
ABSA16-1655504:1.2	<TARGET>Cheese plate</TARGET> is a varied delight and great bargain at $10.	positive	1.0	positive,positive,positive,positive
ABSA16-929329:3.3	Interesting selection, good wines, service fine, fun <TARGET>decor</TARGET>.	positive	1.0	positive,positive,positive
ABSA16-ADLT#6:0.1	<TARGET>Maitre-D</TARGET>-"Eat and get out"	neither	0.6666666666666666	neither,neither,negative
ABSA16-BHD#1:0.2	The hot dogs are good, yes, but the reason to get over here is the fantastic <TARGET>pork croquette sandwich</TARGET>, perfect on its supermarket squishy bun.	positive	1.0	positive,positive,positive
ABSA16-958809:3.2	Luckily we saved room for the BBQ Salmon, <TARGET>Sea Bass</TARGET> and Crispy Duck.	positive	0.6666666666666666	neither,positive,positive
ABSA16-P#1:0.1	WORST <TARGET>PLACE</TARGET> ON SMITH STREET IN BROOKLYN	negative	1.0	negative,negative
ABSA16-1199480:2.1	I'd highly recommend it for a special occasion -- it provides and intimate <TARGET>setting</TARGET> and nice service.	positive	1.0	positive,positive
ABSA16-1661757:0.1	What a great <TARGET>place</TARGET>.	positive	1.0	positive,positive,positive,positive
ABSA16-Y#5:0.1	overpriced <TARGET>japanese food</TARGET> with mediocre service	negative	1.0	negative,negative
ABSA16-TR#5:6.2	Price is high but the <TARGET>food</TARGET> is good, so I would come back again.	neither	0.5	neither,positive
ABSA16-TFS#10:6.1	The dessert (we had a <TARGET>pear torte</TARGET>) was good - but, once again, the staff was unable to provide appropriate drink suggestions.	positive	0.6666666666666666	reject,positive,positive
ABSA16-1451109:0.1	If you want something really different than try <TARGET>Jekyll and Hyde</TARGET>.	positive	1.0	positive,positive
ABSA16-BHD#1:0.3	The hot dogs are good, yes, but the reason to get over here is the fantastic pork croquette sandwich, perfect on its supermarket squishy <TARGET>bun</TARGET>.	positive	0.6666666666666666	positive,neither,positive
ABSA16-1300636:4.1	I highly recommend Cafe St. Bart's for their <TARGET>food</TARGET>, the ambience and wonderful service.	positive	1.0	positive,positive
ABSA16-1538149:0.2	I found the food, <TARGET>service</TARGET> and value exceptional everytime I have been there.	positive	1.0	positive,positive,positive,positive
ABSA16-1615322:5.1	It's a rather cramped and busy <TARGET>restaurant</TARGET> and it closes early.	negative	1.0	negative,negative,negative
ABSA16-TM#7:3.2	The space is limited so be prepared to wait up to 45 minutes - 1 hour, but be richly rewarded when you savor the delicious <TARGET>indo-chinese food</TARGET>.	positive	1.0	positive,positive,positive
ABSA16-Y#5:3.1	<TARGET>food</TARGET> was luke warm.	neither	0.5	positive,neither,neither,negative
ABSA16-1269216:2.1	The <TARGET>food</TARGET> options rule.	neither	0.5	neither,positive
ABSA16-1086478:1.3	I like the somosas, chai, and the <TARGET>chole</TARGET>, but the dhosas and dhal were kinda dissapointing.	positive	1.0	positive,positive,positive
ABSA16-BHD#7:1.1	this place had ALL the <TARGET>trimmings</TARGET> and i mean all.	neither	0.5	neither,positive
ABSA16-NP#9:1.1	<TARGET>Mussles</TARGET> and calamari were superb Saturday evening.	positive	1.0	positive,positive,positive
ABSA16-CLF#3:8.1	We did arrive late for our reservation so I can not complain too much about the <TARGET>wait</TARGET> for a table.	neither	0.5	neither,neutral
ABSA16-1280166:3.2	Wine list selection is good and <TARGET>wine-by-the-glass</TARGET> was generously filled to the top.	neither	0.5	neither,positive
ABSA16-1700205:3.1	I highly recommend Caviar Russe to anyone who wants delicious top grade <TARGET>caviar</TARGET> and fantastic service.	positive	1.0	positive,positive
ABSA16-1335656:4.1	Although we were looking for regular lettuce and some walnuts the <TARGET>salads</TARGET> we got were great.	positive	1.0	positive,positive
ABSA16-Z#7:3.1	This <TARGET>place</TARGET> is not inviting and the food is totally weird.	negative	1.0	negative,negative,negative
ABSA16-1225162:1.1	The <TARGET>exotic food</TARGET> is beautifully presented and is a delight in delicious combinations.	positive	1.0	positive,positive,positive
ABSA16-1147211:3.1	<TARGET>Service</TARGET> was prompt, friendly and great.	positive	1.0	positive,positive,positive,positive,positive
ABSA16-CLF#4:13.1	How this <TARGET>place</TARGET> survives the competitive west village market in this economy, or any other for that matter, is beyond me.	negative	0.6666666666666666	reject,negative,negative
ABSA16-1649025:1.3	I recommend the jelly fish, drunken chicken and the <TARGET>soupy dumplings</TARGET>, certainly the stir fry blue crab.	positive	1.0	positive,positive,positive
ABSA16-P#10:1.1	I can't remember the last time I had such gross <TARGET>food</TARGET> in New York.	negative	0.6666666666666666	neither,negative,negative
ABSA16-1167434:5.1	those <TARGET>rolls</TARGET> were big, but not good and sashimi wasn't fresh.	neither	0.25	neither,positive,negative,neutral
ABSA16-1286916:1.2	The first time I went, and was completely taken by the live jazz band and <TARGET>atmosphere</TARGET>, I ordered the Lobster Cobb Salad.	positive	1.0	positive,positive
ABSA16-1572033:0.2	Don't dine at Tamarind for the vegetarian dishes, they are simply not up to par with the <TARGET>non-veg selections</TARGET>.	neither	0.5	neither,positive
ABSA16-Y#6:2.1	An unpretentious <TARGET>spot</TARGET> in Park Slope, the sushi is consistently good, the service is pleasant, effective and unassuming.	positive	1.0	positive,positive,positive
ABSA16-TFS#5:7.1	What you are paying for is the <TARGET>environment</TARGET> and the name.	neither	0.5	neither,neutral
ABSA16-PP#4:6.2	The veal and the <TARGET>mushrooms</TARGET> were cooked perfectly.	positive	1.0	positive,positive,positive,positive
ABSA16-TFS#11:5.1	This <TARGET>place</TARGET> survives on reputation alone.	neither	0.5	neither,negative,neither,negative
ABSA16-P#3:3.1	Cool <TARGET>atmosphere</TARGET>, the fire place in the back really ads to it but needs a bit more heat throughout on a cold night.	neither	0.5	neither,positive,neither,positive
ABSA16-1470286:2.4	Great friendly service, Fast seating, Fast Delivery, Excellent <TARGET>sushi</TARGET>.	positive	1.0	positive,positive
ABSA16-1404042:3.2	Cute <TARGET>place</TARGET>, nice wait staff but would never go there again.	positive	0.6666666666666666	neither,positive,positive
ABSA16-FF#10:6.1	The <TARGET>waiter</TARGET> delivered our food while holding what appeared to be a plastic bag of garbage in one hand.	neither	0.5	neither,negative
ABSA16-1451109:2.1	The <TARGET>food</TARGET> was pretty tradional but it was hot and good with large portions.	positive	1.0	positive,positive,positive
ABSA16-1417496:0.3	A restaurant that doesn't try to do anything except serve great food with great service in a pleasant <TARGET>atmosphere</TARGET>.	positive	1.0	positive,positive
ABSA16-875139:1.2	The <TARGET>pizza</TARGET> was pretty good and huge.	positive	1.0	positive,positive
ABSA16-632121:3.3	Best of all is the warm vibe, the owner is super friendly and <TARGET>service</TARGET> is fast.	positive	1.0	positive,positive
ABSA16-404464:0.1	Thalia is a beautiful restaurant with beautiful <TARGET>people</TARGET> serving you, but the food doesn't quite match up.	positive	1.0	positive,positive,positive,positive
ABSA16-1500453:2.2	The food is delicious - from the specials to the regular menu-fare, the <TARGET>dishes</TARGET> are never a disappointment.	positive	1.0	positive,positive,positive
ABSA16-1561259:1.1	But the <TARGET>staff</TARGET> was so horrible to us.	negative	1.0	negative,negative
ABSA16-BFC#4:1.1	The <TARGET>food</TARGET> here was mediocre at best. 	neither	0.3333333333333333	neither,positive,negative
ABSA16-FF#6:12.2	Shame on this place for the horrible rude staff and non-existent <TARGET>customer service</TARGET>.	negative	1.0	negative,negative
ABSA16-1293334:2.3	The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the <TARGET>pumkin tortelini</TARGET>.	positive	1.0	positive,positive,positive,positive
ABSA16-1340075:0.1	<TARGET>Big Wong</TARGET> gets big Ups for a fine establishment.	positive	1.0	positive,positive
ABSA16-565344:2.2	The service was fast and friendly and the <TARGET>food</TARGET> was very tasty and they had the best hot sauce to add to your meals.	positive	1.0	positive,positive,positive,positive
ABSA16-751493:0.2	I am relatively new to the area and tried Pick a bgel on 2nd and was disappointed with the service and I thought the <TARGET>food</TARGET> was overated and on the pricey side.	negative	1.0	negative,negative
ABSA16-620892:3.1	<TARGET>Ravioli</TARGET> was good...but I have to say that I found everything a bit overpriced.	positive	0.75	neither,positive,positive,positive
ABSA16-CLF#4:1.2	I'll being with a couple of positives: cool decor, good <TARGET>pita</TARGET> and hummus, and grilled octopus that was actually pretty tasty.	positive	1.0	positive,positive,positive
ABSA16-1632445:5.1	Even though its good <TARGET>seafood</TARGET>, the prices are too high.	positive	0.6666666666666666	neither,positive,positive
ABSA16-682250:0.1	Went here last night - nice <TARGET>decor</TARGET>, good service, but the food was surprisingly excellent.	positive	1.0	positive,positive,positive
ABSA16-1275154:6.1	The <TARGET>sake menu</TARGET> should not be overlooked!	positive	1.0	positive,positive
